apparel id,apparel name,type,apparel image
1,Gulgowski and Sons,image/gif,http://dummyimage.com/124x100.png/ff4444/ffffff
2,Spencer Group,application/vnd.ms-excel,http://dummyimage.com/134x100.png/5fa2dd/ffffff
3,"Goyette, Haag and Kreiger",application/excel,http://dummyimage.com/109x100.png/5fa2dd/ffffff
4,"Bailey, Smith and Watsica",application/x-msexcel,http://dummyimage.com/144x100.png/cc0000/ffffff
5,"Lind, Christiansen and Predovic",application/x-excel,http://dummyimage.com/111x100.png/ff4444/ffffff
6,Johnson-Mann,video/avi,http://dummyimage.com/112x100.png/cc0000/ffffff
7,Greenholt-Blick,application/x-troff-msvideo,http://dummyimage.com/157x100.png/dddddd/000000
8,Heathcote-Bernhard,application/vnd.ms-excel,http://dummyimage.com/166x100.png/5fa2dd/ffffff
9,Farrell and Sons,application/vnd.ms-powerpoint,http://dummyimage.com/241x100.png/dddddd/000000
10,Wilkinson-Davis,application/mspowerpoint,http://dummyimage.com/101x100.png/5fa2dd/ffffff
